,sensor2,sensor3,sensor4,labels
493,466,465,500,normal
491,464,500,498,normal
489,483,509,482,normal
487,492,508,470,normal
487,499,505,462,normal
486,504,502,456,normal
485,506,499,451,normal
485,510,487,449,normal
505,510,478,446,normal
511,497,474,452,normal
510,488,470,476,normal
507,480,467,488,normal
500,474,464,493,normal
495,469,462,501,normal
492,465,463,504,normal
490,463,511,499,normal
488,492,511,484,normal
488,502,508,472,normal
487,504,504,465,normal
486,505,501,458,normal
485,508,491,454,normal
487,509,482,451,normal
508,504,476,450,normal
509,495,472,459,normal
508,486,469,469,normal
505,479,466,481,normal
499,473,463,490,normal
494,468,461,496,normal
492,464,461,499,normal
490,461,505,498,normal
489,487,509,482,normal
488,492,508,471,normal
486,496,506,462,normal
486,502,505,457,normal
485,505,503,451,normal
484,509,492,449,normal
506,509,484,447,normal
510,498,478,454,normal
510,488,473,464,normal
508,480,470,475,normal
505,474,466,485,normal
498,469,463,489,normal
495,465,463,497,normal
492,463,502,496,normal
490,483,510,480,normal
489,496,509,469,normal
487,501,507,461,normal
486,505,505,455,normal
486,506,502,450,normal
485,511,491,448,normal
500,511,483,447,normal
502,499,477,449,normal
501,489,472,466,normal
497,481,470,480,normal
491,475,466,484,normal
488,470,463,493,normal
487,466,462,499,normal
486,463,496,497,normal
485,481,508,485,normal
485,497,507,474,normal
484,504,507,465,normal
483,504,505,458,normal
484,507,502,453,normal
482,509,491,449,normal
498,510,482,447,normal
509,502,477,449,normal
509,494,473,451,normal
508,485,469,469,normal
503,479,466,482,normal
497,473,464,491,normal
492,468,461,497,normal
491,464,460,499,normal
488,461,504,496,normal
488,492,509,480,normal
487,502,508,469,normal
485,503,505,461,normal
485,506,503,456,normal
484,507,493,450,normal
484,509,482,448,normal
505,509,477,446,normal
509,498,473,447,normal
509,489,469,463,normal
503,482,466,475,normal
497,477,463,484,normal
492,470,461,492,normal
490,465,459,500,normal
488,463,480,499,normal
487,462,509,489,normal
486,493,509,478,normal
485,501,508,467,normal
485,504,506,461,normal
485,505,504,453,normal
483,507,498,451,normal
486,509,486,447,normal
510,505,480,446,normal
510,495,474,454,normal
510,487,472,476,normal
502,479,468,487,normal
495,473,467,493,normal
492,469,462,501,normal
490,465,461,501,normal
488,462,506,499,normal
487,493,509,483,normal
486,499,508,471,normal
485,503,508,463,normal
485,503,505,456,normal
484,506,502,452,normal
485,509,490,449,normal
506,506,482,447,normal
509,495,476,458,normal
509,487,472,475,normal
505,479,469,484,normal
498,473,466,490,normal
493,467,462,497,normal
491,464,463,499,normal
489,463,509,496,normal
488,481,512,481,normal
486,493,509,470,normal
486,500,507,462,normal
485,504,504,456,normal
484,506,498,452,normal
485,509,487,449,normal
508,505,480,446,normal
509,495,475,458,normal
508,486,472,474,normal
501,478,469,481,normal
494,472,466,487,normal
491,467,462,494,normal
489,463,463,497,normal
488,462,506,493,normal
487,490,507,479,normal
486,500,509,468,normal
485,503,506,460,normal
484,504,504,454,normal
484,506,498,450,normal
487,510,486,448,normal
506,504,479,448,normal
508,495,474,450,normal
508,485,470,469,normal
503,479,467,479,normal
496,473,464,486,normal
491,468,462,494,normal
490,464,461,498,normal
488,461,507,493,normal
487,485,511,478,normal
486,496,508,468,normal
485,501,507,460,normal
485,504,504,453,normal
484,507,498,450,normal
492,508,487,447,normal
508,503,479,447,normal
509,493,475,448,normal
509,484,471,454,normal
508,477,468,470,normal
504,471,466,487,normal
496,467,463,500,normal
494,463,489,499,normal
491,475,508,489,normal
489,497,510,476,normal
487,500,508,465,normal
487,502,505,458,normal
485,505,501,452,normal
485,509,491,450,normal
500,507,482,448,normal
509,499,476,448,normal
508,489,473,447,normal
507,482,469,458,normal
502,475,466,471,normal
497,469,463,483,normal
492,464,462,496,normal
491,462,496,497,normal
489,487,508,485,normal
487,497,508,474,normal
486,500,507,464,normal
485,502,506,457,normal
485,505,504,451,normal
484,508,497,449,normal
498,509,487,447,normal
509,501,479,450,normal
509,490,474,444,normal
507,482,471,443,normal
503,476,467,464,normal
498,470,465,489,normal
493,466,462,497,normal
490,463,499,500,normal
489,485,510,485,normal
487,494,509,472,normal
487,498,507,462,normal
486,503,506,456,normal
485,505,502,451,normal
484,508,490,448,normal
507,508,481,447,normal
509,495,476,449,normal
508,486,472,449,normal
506,479,469,470,normal
504,472,465,484,normal
498,467,463,494,normal
493,463,464,497,normal
491,462,506,495,normal
489,498,507,478,normal
487,501,505,467,normal
486,504,503,460,normal
485,506,502,453,normal
484,507,493,449,normal
494,510,483,447,normal
507,503,477,446,normal
508,493,472,447,normal
507,484,468,457,normal
507,477,465,472,normal
505,472,462,490,normal
